Date,Equity
2023-01-06,50000.0
2023-01-13,50000.0
2023-01-20,50000.0
2023-01-27,50000.0
2023-02-03,50000.0
2023-02-10,50000.0
2023-02-17,50000.0
2023-02-24,50000.0
2023-03-03,50000.0
2023-03-10,50000.0
2023-03-17,50000.0
2023-03-24,50000.0
2023-03-31,50000.0
2023-04-07,50000.0
2023-04-14,50000.0
2023-04-21,50000.0
2023-04-28,50000.0
2023-05-05,50000.0
2023-05-12,50000.0
2023-05-19,50000.0
2023-05-26,50000.0
2023-06-02,50000.0
2023-06-09,50000.0
2023-06-16,50000.0
2023-06-23,50000.0
2023-06-30,50000.0
2023-07-07,50000.0
2023-07-14,50000.0
2023-07-21,50000.0
2023-07-28,50000.0
2023-08-04,50000.0
2023-08-11,50000.0
2023-08-18,50000.0
2023-08-25,50000.0
2023-09-01,50000.0
2023-09-08,50000.0
2023-09-15,50000.0
2023-09-22,50000.0
2023-09-29,50000.0
2023-10-06,50000.0
2023-10-13,50000.0
2023-10-20,49997.39005279541
2023-10-27,47017.2553024292
2023-11-03,47005.61861753464
2023-11-10,47002.67986249924
2023-11-17,46967.594509124756
2023-11-24,46951.828137397766
2023-12-01,46939.93648815155
2023-12-08,46926.46902370453
2023-12-15,46909.69295883179
2023-12-22,46899.52129364014
2023-12-29,46890.456676483154
2024-01-05,46866.46235752106
2024-01-12,46866.17519378662
2024-01-19,46855.3275976181
2024-01-26,46844.91400718689
2024-02-02,46839.58216667175
2024-02-09,46831.81529045105
2024-02-16,46826.72681808472
2024-02-23,46817.253885269165
2024-03-01,46800.100357055664
2024-03-08,45454.86300086975
2024-03-15,45384.06002807617
2024-03-22,41820.3614025116
2024-03-29,41814.290771484375
2024-04-05,41813.76294708252
2024-04-12,41776.19766998291
2024-04-19,41752.4065322876
2024-04-26,41727.92097091675
2024-05-03,39768.198863983154
2024-05-10,40136.32532119751
2024-05-17,40129.53388977051
2024-05-24,38234.23358154297
2024-05-31,38858.9460144043
2024-06-07,36266.84716796875
2024-06-14,35032.40801239014
2024-06-21,35798.61082458496
2024-06-28,35785.52679634094
2024-07-05,35774.6603679657
2024-07-12,35758.03680419922
2024-07-19,35752.81255340576
2024-07-26,35712.89894104004
2024-08-02,35692.13903045654
2024-08-09,35678.5094909668
2024-08-16,35662.82824134827
2024-08-23,35661.104095458984
2024-08-30,35641.169063568115
2024-09-06,35633.98114013672
2024-09-13,35630.103733062744
2024-09-20,35619.29768371582
2024-09-27,35596.50107574463
2024-10-04,35591.43636703491
2024-10-11,35589.8410949707
2024-10-18,35586.55591583252
2024-10-25,35579.51856994629
2024-11-01,35579.39115142822
2024-11-08,35570.739035353065
2024-11-15,35564.37395115197
2024-11-22,35556.61250495911
2024-11-29,35535.55690343678
2024-12-06,35526.67562675476
2024-12-13,35513.894320487976
2024-12-20,35498.638712882996
2024-12-27,35471.17308807373
2025-01-03,35454.60906410217
2025-01-10,35430.76505661011
2025-01-17,35426.25
2025-01-24,35422.719665527344
2025-01-31,35408.05087681301
2025-02-07,35404.94173927419
2025-02-14,35382.71019941755
2025-02-21,35362.76986530982
2025-02-28,35360.21931967512
2025-03-07,35342.59790244512
2025-03-14,35326.80940566026
2025-03-21,35311.89954948425
2025-03-28,35310.75967979431
2025-04-04,35281.39957809448
2025-04-11,35254.67820739746
2025-04-18,35240.80009460449
2025-04-25,35212.080505371094
2025-05-02,35193.555141448975
2025-05-09,35168.788524627686
2025-05-16,35148.75
2025-05-23,35113.07977294922
2025-05-30,32430.199668884277
2025-06-06,32412.92852783203
2025-06-13,32397.0495967865
2025-06-20,32360.500675201416
2025-06-27,32314.32046508789
2025-07-04,32307.639888763428
2025-07-11,32285.75
2025-07-18,32253.519241333008
2025-07-25,32222.738800048828
2025-08-01,29883.19962501526
2025-08-08,29872.849634170532
2025-08-15,29865.728998184204
2025-08-22,29833.0
2025-08-29,29791.579929351807
2025-09-05,29759.37994003296
2025-09-12,29726.830085754395
2025-09-19,29690.46001625061
2025-09-26,29681.29045677185
2025-10-03,29648.00106048584
2025-10-10,29607.269383607432
2025-10-17,29565.73725625314
2025-10-24,29527.80392544344
2025-10-31,29495.4729741998
2025-11-07,29464.007022978738
2025-11-14,29433.96296727471
2025-11-21,29398.745500564575
2025-11-28,29360.65665435791
2025-12-05,29315.324125206098
2025-12-12,29249.92033958435
2025-12-19,29189.93977546692
2025-12-26,29100.335655212402
2026-01-02,29032.31405067444
2026-01-09,28894.338121414185
2026-01-16,28844.85069580376
2026-01-23,28834.830095291138
2026-01-30,28801.92968567647
2026-02-06,28772.646152831614
2026-02-13,28713.89940261841
2026-02-20,28694.970726013184
